Gene_ID	Gene_Name	Cross-validated R2	Number of Neigbors	Weights	P	Population
ENSG00000204599.10	TRIM39	-0.142481517851835	31	uniform	1	AFA
ENSG00000100422.9	CERK	-0.14134348561652	29	distance	3	AFA
ENSG00000134539.12	KLRD1	-0.140660585482328	31	uniform	2	AFA
ENSG00000021574.7	SPAST	-0.140426722189819	27	uniform	3	AFA
ENSG00000124767.6	GLO1	-0.14003234509067	29	distance	1	AFA
ENSG00000139187.5	KLRG1	-0.137172219084626	31	distance	1	AFA
ENSG00000155363.14	MOV10	-0.13678474896604	31	uniform	2	AFA
ENSG00000196417.8	ZNF765	-0.136589848844377	31	uniform	1	AFA
ENSG00000094880.6	CDC23	-0.136014627312458	29	uniform	3	AFA
ENSG00000173744.12	AGFG1	-0.135236598730003	27	uniform	2	AFA
ENSG00000051341.9	POLQ	-0.134994363550798	31	uniform	1	AFA
ENSG00000167618.5	LAIR2	-0.134770028971286	31	distance	3	AFA
ENSG00000172795.11	DCP2	-0.133946348359113	29	uniform	1	AFA
ENSG00000196588.10	MKL1	-0.1333128473808	25	distance	1	AFA
ENSG00000104522.11	TSTA3	-0.13261164133818	27	uniform	1	AFA
ENSG00000104852.10	SNRNP70	-0.13209431806433	29	uniform	3	AFA
ENSG00000109065.7	NAT9	-0.131847849065593	29	distance	2	AFA
ENSG00000119953.7	SMNDC1	-0.131122763128431	31	distance	1	AFA
ENSG00000153563.11	CD8A	-0.131111219842149	25	distance	3	AFA
ENSG00000156671.7	SAMD8	-0.131033446426032	25	uniform	3	AFA
ENSG00000146872.13	TLK2	-0.1309345403689	29	uniform	3	AFA
ENSG00000168010.6	ATG16L2	-0.130327358921431	31	distance	1	AFA
ENSG00000115271.6	GCA	-0.130295456580755	31	uniform	2	AFA
ENSG00000085063.10	CD59	-0.130061523474086	29	uniform	3	AFA
ENSG00000151500.10	THYN1	-0.129627385680497	31	uniform	3	AFA
ENSG00000188322.4	SBK1	-0.129547801323077	29	uniform	2	AFA
ENSG00000205336.7	GPR56	-0.128627886381602	19	distance	3	AFA
ENSG00000242252.1	BGLAP	-0.128602987109184	19	uniform	3	AFA
ENSG00000114383.5	TUSC2	-0.128257385893216	29	uniform	1	AFA
ENSG00000165819.7	METTL3	-0.128019952926054	31	uniform	3	AFA
ENSG00000011454.12	RABGAP1	-0.12791414922308	27	uniform	2	AFA
ENSG00000169241.13	SLC50A1	-0.127352477655005	29	uniform	1	AFA
ENSG00000100934.10	SEC23A	-0.127193289044954	15	uniform	3	AFA
ENSG00000156802.8	ATAD2	-0.127053184285431	31	uniform	3	AFA
ENSG00000166135.8	HIF1AN	-0.126712862255711	31	uniform	2	AFA
ENSG00000113312.6	TTC1	-0.126106976937595	31	uniform	3	AFA
ENSG00000000419.8	DPM1	-0.126102773860098	29	uniform	3	AFA
ENSG00000182472.4	CAPN12	-0.125657203797353	25	uniform	3	AFA
ENSG00000170385.9	SLC30A1	-0.125438551728185	29	distance	2	AFA
ENSG00000105671.7	DDX49	-0.125262896469427	27	uniform	2	AFA
ENSG00000158859.8	ADAMTS4	-0.125149755748003	25	uniform	3	AFA
ENSG00000048991.12	R3HDM1	-0.12500210760021	31	uniform	1	AFA
ENSG00000006831.9	ADIPOR2	-0.124807260101935	25	uniform	1	AFA
ENSG00000164967.5	RPP25L	-0.124798859087919	29	uniform	2	AFA
ENSG00000074621.9	SLC24A1	-0.124558841024521	29	distance	1	AFA
ENSG00000132185.12	FCRLA	-0.124501426930369	31	uniform	2	AFA
ENSG00000103253.13	HAGHL	-0.12349077858159	31	uniform	2	AFA
ENSG00000117215.10	PLA2G2D	-0.123059262179862	29	distance	1	AFA
ENSG00000111796.3	KLRB1	-0.123029045798698	31	distance	1	AFA
ENSG00000203965.8	EFCAB7	-0.122649901590191	31	uniform	1	AFA
ENSG00000168496.3	FEN1	-0.122524956790712	23	distance	2	AFA
ENSG00000101350.6	KIF3B	-0.122400815219229	27	uniform	1	AFA
ENSG00000196644.8	GPR89C	-0.122046784699282	31	uniform	3	AFA
ENSG00000163625.11	WDFY3	-0.12142511033974	31	uniform	1	AFA
ENSG00000177455.7	CD19	-0.121146338068403	29	uniform	2	AFA
ENSG00000107175.6	CREB3	-0.121117100660805	31	uniform	3	AFA
ENSG00000008516.12	MMP25	-0.121108959143769	31	uniform	1	AFA
ENSG00000168591.11	TMUB2	-0.120727615065779	31	uniform	3	AFA
ENSG00000162729.9	IGSF8	-0.120522044489758	31	uniform	2	AFA
ENSG00000085511.15	MAP3K4	-0.120223819761772	31	uniform	3	AFA
ENSG00000203896.5	LIME1	-0.120005638045509	27	uniform	2	AFA
ENSG00000083312.13	TNPO1	-0.119766391709668	31	uniform	1	AFA
ENSG00000188676.9	IDO2	-0.119536811766559	31	uniform	3	AFA
ENSG00000167965.13	MLST8	-0.119503092944207	29	uniform	2	AFA
ENSG00000074319.8	TSG101	-0.119480619728465	31	uniform	1	AFA
ENSG00000066926.6	FECH	-0.118926486604588	31	distance	1	AFA
ENSG00000125734.9	GPR108	-0.118797605213813	31	uniform	3	AFA
ENSG00000169413.2	RNASE6	-0.118480467616039	19	uniform	3	AFA
ENSG00000163257.6	DCAF16	-0.118278996004398	31	uniform	3	AFA
ENSG00000099795.2	NDUFB7	-0.118248011826302	31	uniform	1	AFA
ENSG00000168062.5	BATF2	-0.1180819036567	31	uniform	2	AFA
ENSG00000122507.16	BBS9	-0.117641161275315	29	distance	2	AFA
ENSG00000116918.9	TSNAX	-0.117318604904543	19	distance	1	AFA
ENSG00000144233.5	AMMECR1L	-0.117027515704026	29	uniform	3	AFA
ENSG00000128563.9	PRKRIP1	-0.117006964292858	31	uniform	1	AFA
ENSG00000141720.7	PIP4K2B	-0.116942831566824	31	distance	3	AFA
ENSG00000204569.5	PPP1R10	-0.116925761704478	27	distance	1	AFA
ENSG00000138378.13	STAT4	-0.116917912168512	31	uniform	1	AFA
ENSG00000144504.11	ANKMY1	-0.116853951047985	31	uniform	3	AFA
ENSG00000144711.9	IQSEC1	-0.116601181654732	25	distance	3	AFA
ENSG00000140995.12	DEF8	-0.116584808452313	31	uniform	3	AFA
ENSG00000090060.13	PAPOLA	-0.116489148290366	15	uniform	2	AFA
ENSG00000102879.11	CORO1A	-0.116210558915388	29	uniform	1	AFA
ENSG00000171566.7	PLRG1	-0.116023738510447	31	uniform	3	AFA
ENSG00000162298.12	SYVN1	-0.115996839667327	31	uniform	3	AFA
ENSG00000170584.6	NUDCD2	-0.115834684432083	15	distance	3	AFA
ENSG00000179833.3	SERTAD2	-0.115544140879003	23	uniform	3	AFA
ENSG00000008853.12	RHOBTB2	-0.115298526030579	31	distance	2	AFA
ENSG00000122497.13	NBPF14	-0.115146893282739	27	uniform	3	AFA
ENSG00000037637.6	FBXO42	-0.114899429943223	31	uniform	1	AFA
ENSG00000258659.2	TRIM34	-0.114857061591544	31	uniform	3	AFA
ENSG00000027869.7	SH2D2A	-0.114565293081226	31	uniform	3	AFA
ENSG00000186222.3	BLOC1S4	-0.114545658466191	17	uniform	1	AFA
ENSG00000174306.17	ZHX3	-0.114545248563994	19	distance	3	AFA
ENSG00000167460.10	TPM4	-0.114491714414496	23	distance	1	AFA
ENSG00000111371.11	SLC38A1	-0.114325556524227	29	uniform	3	AFA
ENSG00000150667.6	FSIP1	-0.114241826681407	31	uniform	2	AFA
ENSG00000153064.7	BANK1	-0.113705444410288	31	uniform	1	AFA
ENSG00000064102.10	ASUN	-0.113622488493673	29	uniform	3	AFA
ENSG00000172197.9	MBOAT1	-0.113358680091121	29	uniform	3	AFA
ENSG00000100453.8	GZMB	-0.113348681336653	31	uniform	3	AFA
ENSG00000178096.8	BOLA1	-0.113252969750581	23	distance	3	AFA
ENSG00000196214.6	ZNF766	-0.113146338732114	29	uniform	3	AFA
ENSG00000184956.11	MUC6	-0.112879271352845	21	distance	1	AFA
ENSG00000139921.8	TMX1	-0.112864265047642	29	uniform	3	AFA
ENSG00000169231.8	THBS3	-0.112630267523759	31	uniform	2	AFA
ENSG00000008294.16	SPAG9	-0.112491506052211	31	uniform	1	AFA
ENSG00000116754.9	SRSF11	-0.112436532255269	31	uniform	1	AFA
ENSG00000198785.4	GRIN3A	-0.112389876967714	19	uniform	1	AFA
ENSG00000053524.7	MCF2L2	-0.112267134585798	31	uniform	3	AFA
ENSG00000177463.11	NR2C2	-0.112033044732892	23	uniform	1	AFA
ENSG00000133111.3	RFXAP	-0.112014491479932	29	distance	3	AFA
ENSG00000136273.7	HUS1	-0.111837553910791	25	uniform	1	AFA
ENSG00000205572.5	SERF1B	-0.111834294003383	31	uniform	2	AFA
ENSG00000197124.7	ZNF682	-0.111668438452289	23	uniform	1	AFA
ENSG00000116711.8	PLA2G4A	-0.111515136511834	31	uniform	3	AFA
ENSG00000005007.8	UPF1	-0.111477824858971	31	uniform	3	AFA
ENSG00000185019.12	UBOX5	-0.11138430370375	31	uniform	3	AFA
ENSG00000005513.9	SOX8	-0.111294769426143	29	uniform	3	AFA
ENSG00000163631.12	ALB	-0.111230019143981	27	distance	1	AFA
ENSG00000120458.5	MSANTD2	-0.111229962844384	31	uniform	1	AFA
ENSG00000099821.9	POLRMT	-0.110976274177623	31	uniform	2	AFA
ENSG00000163882.5	POLR2H	-0.11088428941581	31	uniform	1	AFA
ENSG00000100473.11	COCH	-0.110820210234433	31	uniform	3	AFA
ENSG00000101365.16	IDH3B	-0.110706612050993	23	uniform	3	AFA
ENSG00000137878.12	GCOM1	-0.110441214796221	25	uniform	1	AFA
ENSG00000241106.2	HLA-DOB	-0.109971796250368	17	distance	1	AFA
ENSG00000187531.9	SIRT7	-0.109880338329352	31	uniform	3	AFA
ENSG00000065526.6	SPEN	-0.10982010010634	27	uniform	3	AFA
ENSG00000172113.4	NME6	-0.109677600020529	23	uniform	3	AFA
ENSG00000167657.7	DAPK3	-0.109613328799005	31	distance	2	AFA
ENSG00000149658.13	YTHDF1	-0.109414929033164	27	distance	1	AFA
ENSG00000213588.4	ZBTB9	-0.109336945573679	31	uniform	3	AFA
ENSG00000156374.10	PCGF6	-0.109076397077686	31	uniform	3	AFA
ENSG00000121940.11	CLCC1	-0.109032566030465	17	uniform	1	AFA
ENSG00000121940.11	CLCC1	-0.109032566030465	17	uniform	1	AFA
ENSG00000142765.13	SYTL1	-0.108499386506997	31	uniform	1	AFA
ENSG00000163993.6	S100P	-0.108247989854978	29	uniform	1	AFA
ENSG00000117625.9	RCOR3	-0.108157952849357	25	distance	3	AFA
ENSG00000145388.9	METTL14	-0.10758151369146	29	uniform	1	AFA
ENSG00000163517.10	HDAC11	-0.10757808640969	31	uniform	1	AFA
ENSG00000165731.13	RET	-0.107408761218481	17	uniform	3	AFA
ENSG00000198917.7	C9orf114	-0.107405632328338	29	uniform	3	AFA
ENSG00000152439.8	ZNF773	-0.107321145468298	31	uniform	3	AFA
ENSG00000008282.3	SYPL1	-0.107119355718793	29	uniform	3	AFA
ENSG00000170627.5	GTSF1	-0.107092179735361	31	uniform	3	AFA
ENSG00000170260.4	ZNF212	-0.107058033192309	25	uniform	1	AFA
ENSG00000174276.5	ZNHIT2	-0.10696964773631	31	uniform	1	AFA
ENSG00000198925.6	ATG9A	-0.106776278424147	27	uniform	1	AFA
ENSG00000086475.10	SEPHS1	-0.106744320218618	27	distance	1	AFA
ENSG00000152558.10	TMEM123	-0.10657834253194	27	distance	3	AFA
ENSG00000096070.15	BRPF3	-0.106495882147877	25	distance	3	AFA
ENSG00000008517.12	IL32	-0.106471548307452	31	uniform	3	AFA
ENSG00000170604.3	IRF2BP1	-0.10637225801491	13	uniform	1	AFA
ENSG00000158373.7	HIST1H2BD	-0.106307145921955	29	uniform	1	AFA
ENSG00000164087.3	POC1A	-0.106260822695867	23	uniform	3	AFA
ENSG00000141867.13	BRD4	-0.106192040590227	31	uniform	2	AFA
ENSG00000197933.8	ZNF823	-0.106098877026139	29	uniform	3	AFA
ENSG00000119655.4	NPC2	-0.106000356414674	31	distance	3	AFA
ENSG00000197262.8	CCL4L2	-0.105914573924502	31	uniform	3	AFA
ENSG00000144840.4	RABL3	-0.105888054550596	29	uniform	1	AFA
ENSG00000186501.9	TMEM222	-0.10585319590508	31	distance	1	AFA
ENSG00000167395.10	ZNF646	-0.105750752318732	29	uniform	1	AFA
ENSG00000119801.8	YPEL5	-0.105661290871596	23	uniform	1	AFA
ENSG00000105369.5	CD79A	-0.105396724085151	31	uniform	2	AFA
ENSG00000125870.6	SNRPB2	-0.105246536756967	25	uniform	1	AFA
ENSG00000130511.10	SSBP4	-0.10520941929831	19	uniform	3	AFA
ENSG00000121064.8	SCPEP1	-0.105200382459405	31	uniform	3	AFA
ENSG00000120334.11	CENPL	-0.105171788317764	31	uniform	3	AFA
ENSG00000107443.11	CCNJ	-0.105170740695571	31	uniform	1	AFA
ENSG00000146833.11	TRIM4	-0.105143535785118	31	distance	1	AFA
ENSG00000104998.2	IL27RA	-0.105038561809063	29	uniform	3	AFA
ENSG00000167674.10	HDGFRP2	-0.105033715598873	29	uniform	1	AFA
ENSG00000143878.8	RHOB	-0.104910191428412	31	uniform	1	AFA
ENSG00000122299.7	ZC3H7A	-0.104882790868898	31	uniform	3	AFA
ENSG00000133243.4	BTBD2	-0.104853727744114	27	uniform	3	AFA
ENSG00000196233.7	LCOR	-0.104797836187554	31	uniform	2	AFA
ENSG00000147457.9	CHMP7	-0.104746360256089	31	uniform	1	AFA
ENSG00000135070.9	ISCA1	-0.104529688241889	31	uniform	3	AFA
ENSG00000204463.8	BAG6	-0.104510223638612	31	distance	1	AFA
ENSG00000173473.6	SMARCC1	-0.104278022635094	25	uniform	2	AFA
ENSG00000213463.3	SYNJ2BP	-0.104216188960473	31	distance	1	AFA
ENSG00000175324.5	LSM1	-0.104146858876124	31	distance	1	AFA
ENSG00000162613.12	FUBP1	-0.104135387443307	15	distance	1	AFA
ENSG00000141506.9	PIK3R5	-0.103945537524992	27	uniform	3	AFA
ENSG00000185565.6	LSAMP	-0.103898706810286	31	distance	3	AFA
ENSG00000105879.6	CBLL1	-0.103871661345788	31	distance	2	AFA
ENSG00000100450.8	GZMH	-0.103869376784621	29	uniform	1	AFA
ENSG00000080007.6	DDX43	-0.103661264712814	31	uniform	3	AFA
ENSG00000185813.6	PCYT2	-0.103643602416268	23	distance	3	AFA
ENSG00000115053.11	NCL	-0.103624034237566	31	uniform	2	AFA
ENSG00000165813.12	C10orf118	-0.103369111863156	31	uniform	2	AFA
ENSG00000179943.6	FIZ1	-0.103245870042598	31	uniform	3	AFA
ENSG00000134109.6	EDEM1	-0.103065304129564	27	uniform	1	AFA
ENSG00000171163.11	ZNF692	-0.10304061481144	31	uniform	1	AFA
ENSG00000165821.7	SALL2	-0.102895420844355	25	distance	3	AFA
ENSG00000103415.7	HMOX2	-0.102839775121265	31	uniform	3	AFA
ENSG00000162086.10	ZNF75A	-0.102703841943063	31	distance	3	AFA
ENSG00000174886.8	NDUFA11	-0.102308080709103	25	uniform	3	AFA
ENSG00000011275.14	RNF216	-0.102281799013681	31	uniform	1	AFA
ENSG00000180263.9	FGD6	-0.102224822710531	31	uniform	1	AFA
ENSG00000175697.6	GPR156	-0.10205233905824	31	distance	2	AFA
ENSG00000100938.13	GMPR2	-0.101962279634439	29	uniform	3	AFA
ENSG00000118894.10	FAM86A	-0.101818259439804	29	uniform	1	AFA
ENSG00000187959.5	CPSF4L	-0.101632481401667	29	uniform	1	AFA
ENSG00000181222.10	POLR2A	-0.101599522583361	27	uniform	1	AFA
ENSG00000095319.10	NUP188	-0.101489894037516	25	uniform	2	AFA
ENSG00000184402.10	SS18L1	-0.101423127982935	31	uniform	1	AFA
ENSG00000074842.3	C19orf10	-0.101383978717823	25	uniform	3	AFA
ENSG00000137845.10	ADAM10	-0.101348501354785	31	uniform	3	AFA
ENSG00000213347.6	MXD3	-0.10125180743036	31	distance	1	AFA
ENSG00000165898.9	ISCA2	-0.101192536217717	29	distance	2	AFA
ENSG00000253729.3	PRKDC	-0.101177324667288	23	uniform	3	AFA
ENSG00000196141.7	SPATS2L	-0.10099984903828	23	uniform	3	AFA
ENSG00000163346.12	PBXIP1	-0.100960697001677	31	uniform	2	AFA
ENSG00000248871.1	TNFSF12-TNFSF13	-0.100918664886782	31	distance	1	AFA
ENSG00000137842.2	TMEM62	-0.100742886705486	29	distance	3	AFA
ENSG00000166326.5	TRIM44	-0.100671743319167	31	uniform	3	AFA
ENSG00000111266.4	DUSP16	-0.100644584911059	31	uniform	3	AFA
ENSG00000166510.9	CCDC68	-0.100620342783593	15	uniform	1	AFA
ENSG00000162419.8	GMEB1	-0.100581832937017	31	distance	1	AFA
ENSG00000203747.5	FCGR3A	-0.100571126300854	31	distance	3	AFA
ENSG00000150712.6	MTMR12	-0.10055079377711	29	uniform	1	AFA
ENSG00000096063.10	SRPK1	-0.100496240765571	17	uniform	3	AFA
ENSG00000136888.6	ATP6V1G1	-0.100480256131314	31	uniform	1	AFA
ENSG00000140521.7	POLG	-0.100470272260635	19	uniform	3	AFA
ENSG00000148346.7	LCN2	-0.100318995916552	25	uniform	2	AFA
ENSG00000135390.13	ATP5G2	-0.100241706249119	29	uniform	2	AFA
ENSG00000127419.12	TMEM175	-0.100222218507664	13	uniform	2	AFA
ENSG00000136485.10	DCAF7	-0.10016271317098	23	uniform	1	AFA
ENSG00000186265.5	BTLA	-0.100153319382765	31	distance	1	AFA
ENSG00000267796.3	LIN37	-0.100101403619501	29	uniform	2	AFA
ENSG00000158985.9	CDC42SE2	-0.10008326490667	31	distance	3	AFA
ENSG00000187742.10	SECISBP2	-0.099977530691215	23	uniform	1	AFA
ENSG00000072858.6	SIDT1	-0.0999204805958831	31	uniform	1	AFA
ENSG00000186020.8	ZNF529	-0.0994679584010052	31	uniform	3	AFA
ENSG00000104731.9	KLHDC4	-0.0994557053611999	29	uniform	1	AFA
ENSG00000173933.15	RBM4	-0.0993106325716952	15	uniform	3	AFA
ENSG00000070614.10	NDST1	-0.0993024822034605	31	distance	3	AFA
ENSG00000116035.2	VAX2	-0.0992407090137399	31	uniform	1	AFA
ENSG00000066117.10	SMARCD1	-0.0992231151849249	29	distance	2	AFA
ENSG00000238243.2	OR2W3	-0.0990526193203726	31	uniform	3	AFA
ENSG00000108061.7	SHOC2	-0.099003670706912	23	uniform	1	AFA
ENSG00000161970.8	RPL26	-0.0989456013694027	31	distance	1	AFA
ENSG00000083520.10	DIS3	-0.0988711069937331	25	uniform	2	AFA
ENSG00000147604.9	RPL7	-0.0988157862882875	29	uniform	1	AFA
ENSG00000185215.4	TNFAIP2	-0.098796496378715	23	uniform	1	AFA
ENSG00000136044.7	APPL2	-0.0987285970734292	31	distance	3	AFA
ENSG00000174231.12	PRPF8	-0.0986774500660328	23	uniform	3	AFA
ENSG00000125149.7	C16orf70	-0.0986743151390676	31	uniform	1	AFA
ENSG00000128203.6	ASPHD2	-0.0986558763191024	27	uniform	1	AFA
ENSG00000131323.10	TRAF3	-0.0984928785807412	29	uniform	3	AFA
ENSG00000141499.12	WRAP53	-0.0982128222146478	25	uniform	1	AFA
ENSG00000131848.5	ZSCAN5A	-0.0981750105633143	31	uniform	1	AFA
ENSG00000161570.4	CCL5	-0.0980602520868277	31	uniform	3	AFA
ENSG00000116497.13	S100PBP	-0.0980344869878316	29	distance	3	AFA
ENSG00000081041.8	CXCL2	-0.0978104940930272	29	uniform	1	AFA
ENSG00000105722.5	ERF	-0.0977554599830315	31	distance	1	AFA
ENSG00000092929.7	UNC13D	-0.0976986933312734	31	distance	2	AFA
ENSG00000116478.7	HDAC1	-0.0976315869163586	31	uniform	2	AFA
ENSG00000105371.8	ICAM4	-0.0975962617877232	11	uniform	3	AFA
ENSG00000089775.6	ZBTB25	-0.0974110301050766	31	distance	3	AFA
ENSG00000009307.11	CSDE1	-0.0973428939357144	31	uniform	3	AFA
ENSG00000128311.9	TST	-0.0972375479021184	29	uniform	3	AFA
ENSG00000162413.12	KLHL21	-0.0971035667302916	31	uniform	3	AFA
ENSG00000109787.8	KLF3	-0.0970188570235471	31	distance	1	AFA
ENSG00000178226.6	PRSS36	-0.0969962481930149	31	uniform	2	AFA
ENSG00000168724.10	DNAJC21	-0.0969687627366015	29	uniform	2	AFA
ENSG00000124391.4	IL17C	-0.0968486216928296	31	uniform	1	AFA
ENSG00000177143.3	CETN1	-0.0967072643469858	11	distance	1	AFA
ENSG00000147862.10	NFIB	-0.0965040200300729	31	uniform	2	AFA
ENSG00000103429.6	BFAR	-0.0964675519724161	31	uniform	1	AFA
ENSG00000182372.6	CLN8	-0.0962484246518244	31	uniform	2	AFA
ENSG00000197448.9	GSTK1	-0.0962376623752135	29	uniform	3	AFA
ENSG00000166949.11	SMAD3	-0.0961695831758304	21	uniform	3	AFA
ENSG00000167112.7	TRUB2	-0.0959649129944398	31	uniform	3	AFA
ENSG00000101558.9	VAPA	-0.0959432133792475	31	uniform	3	AFA
ENSG00000121848.8	RNF115	-0.0959204336755276	15	uniform	1	AFA
ENSG00000196821.5	C6orf106	-0.0958689721217505	31	uniform	3	AFA
ENSG00000178951.4	ZBTB7A	-0.0957707686660082	31	uniform	1	AFA
ENSG00000136783.9	NIPSNAP3A	-0.0956341847198931	31	distance	1	AFA
ENSG00000109118.9	PHF12	-0.0955950709359988	31	uniform	1	AFA
ENSG00000116857.11	TMEM9	-0.0954333998122107	27	distance	1	AFA
ENSG00000164256.5	PRDM9	-0.0953955717622637	31	uniform	2	AFA
ENSG00000112218.7	GPR63	-0.095384677516016	31	uniform	3	AFA
ENSG00000148335.10	NTMT1	-0.0953739393990175	31	uniform	1	AFA
ENSG00000103042.4	SLC38A7	-0.0953319150945952	21	uniform	3	AFA
ENSG00000086065.9	CHMP5	-0.0952532145504666	31	uniform	3	AFA
ENSG00000188747.4	NOXA1	-0.0952031934517985	31	distance	2	AFA
ENSG00000133773.7	CCDC59	-0.0951578304405646	31	distance	3	AFA
ENSG00000101132.5	PFDN4	-0.0951522549527692	31	distance	1	AFA
ENSG00000148481.9	FAM188A	-0.0951345626247708	31	uniform	1	AFA
ENSG00000172663.4	TMEM134	-0.0949855473036725	27	uniform	2	AFA
ENSG00000187051.4	RPS19BP1	-0.094859582635554	31	uniform	2	AFA
ENSG00000184232.4	OAF	-0.0948154317631441	31	uniform	1	AFA
ENSG00000162511.7	LAPTM5	-0.0947823643264667	31	uniform	1	AFA
ENSG00000152795.13	HNRNPDL	-0.0947234682054604	31	distance	3	AFA
ENSG00000185905.3	C16orf54	-0.0945106538803974	29	uniform	3	AFA
ENSG00000162496.4	DHRS3	-0.0943779955825192	15	uniform	2	AFA
ENSG00000143514.12	TP53BP2	-0.0943743979942927	29	uniform	3	AFA
ENSG00000123297.12	TSFM	-0.0943625029785458	23	distance	3	AFA
ENSG00000008118.5	CAMK1G	-0.0943268178172838	27	uniform	1	AFA
ENSG00000189013.9	KIR2DL4	-0.094288754048987	29	distance	1	AFA
ENSG00000088247.11	KHSRP	-0.0942716863355457	13	distance	1	AFA
ENSG00000175906.4	ARL4D	-0.0942633393125773	19	uniform	3	AFA
ENSG00000127528.5	KLF2	-0.0942535640576879	31	uniform	2	AFA
ENSG00000134744.9	ZCCHC11	-0.0941491861766056	31	distance	3	AFA
ENSG00000069493.9	CLEC2D	-0.094058030763946	17	distance	3	AFA
ENSG00000058272.11	PPP1R12A	-0.0939934940092762	27	distance	3	AFA
ENSG00000099991.12	CABIN1	-0.0939102103836945	31	uniform	2	AFA
ENSG00000183117.13	CSMD1	-0.0938062276831405	31	uniform	3	AFA
ENSG00000175073.7	VCPIP1	-0.093788403601908	27	uniform	1	AFA
ENSG00000149932.12	TMEM219	-0.0937766745332203	31	uniform	3	AFA
ENSG00000087460.18	GNAS	-0.0937737229034774	31	uniform	3	AFA
ENSG00000145907.10	G3BP1	-0.0937633561531875	31	uniform	3	AFA
ENSG00000131469.8	RPL27	-0.0937582725691245	31	uniform	1	AFA
ENSG00000143493.8	INTS7	-0.0937069588923365	31	uniform	1	AFA
ENSG00000106692.9	FKTN	-0.0935772130321622	21	distance	2	AFA
ENSG00000159352.11	PSMD4	-0.0935337421293783	31	uniform	1	AFA
ENSG00000011114.10	BTBD7	-0.0935272994161883	31	distance	3	AFA
ENSG00000164082.10	GRM2	-0.0934546308586344	31	uniform	3	AFA
ENSG00000138777.15	PPA2	-0.0934472963771306	31	uniform	3	AFA
ENSG00000197249.8	SERPINA1	-0.0932542068812994	29	distance	1	AFA
ENSG00000166446.9	CDYL2	-0.0931791747846218	31	uniform	2	AFA
ENSG00000182952.4	HMGN4	-0.0930488567245897	31	distance	1	AFA
ENSG00000100296.9	THOC5	-0.0930016476571715	29	uniform	3	AFA
ENSG00000197019.4	SERTAD1	-0.0929823501469552	21	uniform	3	AFA
ENSG00000137404.10	NRM	-0.0929561987660099	23	uniform	3	AFA
ENSG00000188229.5	TUBB4B	-0.0927101653361811	31	uniform	2	AFA
ENSG00000145901.10	TNIP1	-0.0926396852755091	29	distance	3	AFA
ENSG00000121957.7	GPSM2	-0.092624614823776	31	uniform	2	AFA
ENSG00000009830.7	POMT2	-0.0926107139357488	31	uniform	3	AFA
ENSG00000142178.7	SIK1	-0.0925547027041754	21	uniform	3	AFA
ENSG00000111011.13	RSRC2	-0.092552125560054	29	distance	1	AFA
ENSG00000159917.10	ZNF235	-0.092527197130714	31	uniform	2	AFA
ENSG00000171476.17	HOPX	-0.0923786669952455	31	uniform	2	AFA
ENSG00000070371.11	CLTCL1	-0.0923741009804062	29	uniform	1	AFA
