Gene_ID	Gene_Name	Cross-validated R2	RF Trees	Population
ENSG00000213658.5	LAT	-0.184929417581192	400	AFA
ENSG00000003249.9	DBNDD1	-0.184362189533824	500	AFA
ENSG00000114988.7	LMAN2L	-0.184126799755315	400	AFA
ENSG00000169418.9	NPR1	-0.183781654851599	150	AFA
ENSG00000123091.4	RNF11	-0.183742564915438	300	AFA
ENSG00000173020.6	ADRBK1	-0.18333639187763	500	AFA
ENSG00000114383.5	TUSC2	-0.183122016242628	300	AFA
ENSG00000023734.6	STRAP	-0.181313408429249	350	AFA
ENSG00000184574.5	LPAR5	-0.181066548143531	500	AFA
ENSG00000132357.9	CARD6	-0.180182386354012	350	AFA
ENSG00000165917.5	RAPSN	-0.180126786177859	200	AFA
ENSG00000074842.3	C19orf10	-0.179217685980265	300	AFA
ENSG00000196644.8	GPR89C	-0.177947751395545	200	AFA
ENSG00000183513.4	COA5	-0.177875552778634	200	AFA
ENSG00000126267.4	COX6B1	-0.177854261869887	300	AFA
ENSG00000155363.14	MOV10	-0.177260496517162	450	AFA
ENSG00000077150.13	NFKB2	-0.176936477127339	450	AFA
ENSG00000187531.9	SIRT7	-0.17692763570951	350	AFA
ENSG00000100934.10	SEC23A	-0.176833357776899	350	AFA
ENSG00000139636.11	LMBR1L	-0.176586992713293	450	AFA
ENSG00000135956.3	TMEM127	-0.176548758873143	300	AFA
ENSG00000008282.3	SYPL1	-0.176299435596885	100	AFA
ENSG00000203812.2	HIST2H2AA4	-0.176175943387333	300	AFA
ENSG00000133111.3	RFXAP	-0.176116070769567	500	AFA
ENSG00000069702.6	TGFBR3	-0.174611468899649	400	AFA
ENSG00000143368.9	SF3B4	-0.174174934718852	100	AFA
ENSG00000031003.6	FAM13B	-0.17401572394277	150	AFA
ENSG00000164611.8	PTTG1	-0.17281617816263	500	AFA
ENSG00000196565.8	HBG2	-0.172653451708963	400	AFA
ENSG00000000419.8	DPM1	-0.172393886576177	500	AFA
ENSG00000120533.8	ENY2	-0.171260476855731	350	AFA
ENSG00000132704.11	FCRL2	-0.171013420395656	350	AFA
ENSG00000134046.7	MBD2	-0.17093493109464	150	AFA
ENSG00000148411.3	NACC2	-0.170209815768538	500	AFA
ENSG00000108622.6	ICAM2	-0.170022071758698	100	AFA
ENSG00000100450.8	GZMH	-0.16991560263371	200	AFA
ENSG00000134780.5	DAGLA	-0.169908199433531	200	AFA
ENSG00000106608.12	URGCP	-0.168918167512686	350	AFA
ENSG00000096070.15	BRPF3	-0.16854325366799	500	AFA
ENSG00000205336.7	GPR56	-0.168357075240999	350	AFA
ENSG00000172795.11	DCP2	-0.168342427448763	100	AFA
ENSG00000181631.6	P2RY13	-0.167999994062215	500	AFA
ENSG00000100422.9	CERK	-0.167867404081052	400	AFA
ENSG00000138442.4	WDR12	-0.167624183861192	500	AFA
ENSG00000096063.10	SRPK1	-0.166742889913406	200	AFA
ENSG00000104522.11	TSTA3	-0.166343761995848	450	AFA
ENSG00000166446.9	CDYL2	-0.166268996812025	500	AFA
ENSG00000125657.3	TNFSF9	-0.166146026365909	500	AFA
ENSG00000113282.9	CLINT1	-0.166072099633957	500	AFA
ENSG00000163067.10	ZNF2	-0.165806103295945	500	AFA
ENSG00000105722.5	ERF	-0.165764738756981	500	AFA
ENSG00000100721.6	TCL1A	-0.165748834870325	200	AFA
ENSG00000174886.8	NDUFA11	-0.16574353527614	200	AFA
ENSG00000148346.7	LCN2	-0.165326646839896	350	AFA
ENSG00000242252.1	BGLAP	-0.165120505926292	150	AFA
ENSG00000170989.8	S1PR1	-0.164443060105247	500	AFA
ENSG00000125149.7	C16orf70	-0.16346172653751	300	AFA
ENSG00000169379.11	ARL13B	-0.163358628452192	400	AFA
ENSG00000164051.9	CCDC51	-0.16319854878155	300	AFA
ENSG00000166747.8	AP1G1	-0.162392916048871	500	AFA
ENSG00000165525.13	NEMF	-0.162316786392726	450	AFA
ENSG00000197808.7	ZNF461	-0.162310578567841	200	AFA
ENSG00000119801.8	YPEL5	-0.162247815714663	400	AFA
ENSG00000083099.6	LYRM2	-0.162180494830871	500	AFA
ENSG00000084070.7	SMAP2	-0.162168512944371	350	AFA
ENSG00000103994.12	ZNF106	-0.161838462061977	350	AFA
ENSG00000155850.7	SLC26A2	-0.161710783379899	300	AFA
ENSG00000115053.11	NCL	-0.161634581954558	150	AFA
ENSG00000060642.6	PIGV	-0.161201776694941	450	AFA
ENSG00000107371.8	EXOSC3	-0.161154193210191	300	AFA
ENSG00000091732.11	ZC3HC1	-0.161058197915602	350	AFA
ENSG00000180644.6	PRF1	-0.160984345265486	500	AFA
ENSG00000168283.9	BMI1	-0.16075252195575	450	AFA
ENSG00000153064.7	BANK1	-0.160428877448882	450	AFA
ENSG00000156802.8	ATAD2	-0.160407215039107	100	AFA
ENSG00000141627.9	DYM	-0.160098712455679	300	AFA
ENSG00000137331.11	IER3	-0.160087648453396	400	AFA
ENSG00000121064.8	SCPEP1	-0.159903891097366	250	AFA
ENSG00000088298.7	EDEM2	-0.159747190115728	500	AFA
ENSG00000172113.4	NME6	-0.159713998063741	500	AFA
ENSG00000166289.5	PLEKHF1	-0.159610250019186	500	AFA
ENSG00000076108.7	BAZ2A	-0.159467378598891	300	AFA
ENSG00000145649.7	GZMA	-0.159142937727926	100	AFA
ENSG00000186010.13	NDUFA13	-0.15886927033483	150	AFA
ENSG00000037637.6	FBXO42	-0.158753245288375	450	AFA
ENSG00000241258.2	CRCP	-0.1586322028262	150	AFA
ENSG00000105671.7	DDX49	-0.158482282323685	450	AFA
ENSG00000021574.7	SPAST	-0.158469021054067	250	AFA
ENSG00000100453.8	GZMB	-0.158361790647519	500	AFA
ENSG00000156671.7	SAMD8	-0.158299847573801	400	AFA
ENSG00000107140.11	TESK1	-0.15814117958579	100	AFA
ENSG00000135390.13	ATP5G2	-0.157854324143706	150	AFA
ENSG00000196357.7	ZNF565	-0.157417196673228	450	AFA
ENSG00000164087.3	POC1A	-0.157343803215574	200	AFA
ENSG00000004059.6	ARF5	-0.157102316587138	500	AFA
ENSG00000185905.3	C16orf54	-0.157046067761318	350	AFA
ENSG00000099942.8	CRKL	-0.156811463854831	450	AFA
ENSG00000136273.7	HUS1	-0.156501322555199	500	AFA
ENSG00000169926.5	KLF13	-0.156133776848605	300	AFA
ENSG00000182472.4	CAPN12	-0.156018375356606	500	AFA
ENSG00000167112.7	TRUB2	-0.156014997697217	50	AFA
ENSG00000163191.5	S100A11	-0.155808541466259	200	AFA
ENSG00000188322.4	SBK1	-0.15577684369449	400	AFA
ENSG00000144802.7	NFKBIZ	-0.155536733875446	450	AFA
ENSG00000162496.4	DHRS3	-0.155475822680643	450	AFA
ENSG00000204970.5	PCDHA1	-0.155382064458189	500	AFA
ENSG00000128609.10	NDUFA5	-0.15538137982638	50	AFA
ENSG00000095066.7	HOOK2	-0.155251181016364	150	AFA
ENSG00000132591.7	ERAL1	-0.155049511161493	350	AFA
ENSG00000240038.2	AMY2B	-0.154985777345419	300	AFA
ENSG00000204599.10	TRIM39	-0.154621480284672	100	AFA
ENSG00000101350.6	KIF3B	-0.154477612597931	100	AFA
ENSG00000165731.13	RET	-0.154136143521645	200	AFA
ENSG00000094880.6	CDC23	-0.154098833379622	200	AFA
ENSG00000171827.6	ZNF570	-0.153974383009612	150	AFA
ENSG00000113312.6	TTC1	-0.153956401366043	400	AFA
ENSG00000213190.2	MLLT11	-0.153906923656741	300	AFA
ENSG00000205021.9	CCL3L1	-0.1538677271768	450	AFA
ENSG00000169413.2	RNASE6	-0.153645983633103	50	AFA
ENSG00000166169.12	POLL	-0.153553180062413	450	AFA
ENSG00000179774.7	ATOH7	-0.153066988779489	350	AFA
ENSG00000173531.11	MST1	-0.152884574341863	500	AFA
ENSG00000177463.11	NR2C2	-0.152794832224647	350	AFA
ENSG00000141084.6	RANBP10	-0.152718462253504	100	AFA
ENSG00000163923.5	RPL39L	-0.152255913655426	250	AFA
ENSG00000227507.2	LTB	-0.152196053175515	50	AFA
ENSG00000145293.10	ENOPH1	-0.152007995494952	100	AFA
ENSG00000141867.13	BRD4	-0.151985280664827	200	AFA
ENSG00000144840.4	RABL3	-0.151846720023219	100	AFA
ENSG00000169313.9	P2RY12	-0.151697071428981	100	AFA
ENSG00000165283.11	STOML2	-0.151624536100958	500	AFA
ENSG00000167925.11	GHDC	-0.15160530958615	300	AFA
ENSG00000100124.7	ANKRD54	-0.151434710625806	150	AFA
ENSG00000114353.12	GNAI2	-0.150969373483717	50	AFA
ENSG00000173113.2	TRMT112	-0.150570854542443	500	AFA
ENSG00000099795.2	NDUFB7	-0.150531259473519	50	AFA
ENSG00000108244.12	KRT23	-0.150383794234999	250	AFA
ENSG00000176731.7	C8orf59	-0.150267390664017	450	AFA
ENSG00000123444.9	KBTBD4	-0.150109755678469	200	AFA
ENSG00000136485.10	DCAF7	-0.149994992462709	400	AFA
ENSG00000132465.6	IGJ	-0.149703656261172	350	AFA
ENSG00000162430.12	SEPN1	-0.149619526515532	350	AFA
ENSG00000070476.10	ZXDC	-0.149339875085476	200	AFA
ENSG00000178694.5	NSUN3	-0.149336853667187	300	AFA
ENSG00000180488.10	FAM73A	-0.14926884647195	150	AFA
ENSG00000156738.13	MS4A1	-0.149144206140367	50	AFA
ENSG00000178057.10	NDUFAF3	-0.14900042255961	500	AFA
ENSG00000112039.3	FANCE	-0.148843769377414	500	AFA
ENSG00000130005.7	GAMT	-0.148728717102862	450	AFA
ENSG00000100938.13	GMPR2	-0.148557983450223	50	AFA
ENSG00000149932.12	TMEM219	-0.14853107257619	450	AFA
ENSG00000238227.3	C9orf69	-0.14824081723524	350	AFA
ENSG00000139291.9	TMEM19	-0.148191550511622	250	AFA
ENSG00000110171.14	TRIM3	-0.148113823094238	450	AFA
ENSG00000111011.13	RSRC2	-0.147803132236929	150	AFA
ENSG00000117713.13	ARID1A	-0.147744356993793	450	AFA
ENSG00000130511.10	SSBP4	-0.147723645640511	350	AFA
ENSG00000139496.11	NUPL1	-0.147699518361036	100	AFA
ENSG00000114391.8	RPL24	-0.147576254199435	300	AFA
ENSG00000155034.14	FBXL18	-0.147464644019694	500	AFA
ENSG00000133884.5	DPF2	-0.147361255733742	200	AFA
ENSG00000141965.3	FEM1A	-0.147118228236409	100	AFA
ENSG00000110848.4	CD69	-0.147102666491818	200	AFA
ENSG00000180263.9	FGD6	-0.146990294467148	500	AFA
ENSG00000197568.9	HHLA3	-0.146989207067796	500	AFA
ENSG00000179134.10	SAMD4B	-0.146636656156251	150	AFA
ENSG00000090273.9	NUDC	-0.146574038946926	50	AFA
ENSG00000198785.4	GRIN3A	-0.146206751201704	100	AFA
ENSG00000169435.9	RASSF6	-0.146161129998785	150	AFA
ENSG00000141696.8	LEPREL4	-0.145954404488251	450	AFA
ENSG00000198824.4	CHAMP1	-0.14594221391403	300	AFA
ENSG00000173465.3	SSSCA1	-0.145842112986532	150	AFA
ENSG00000159322.13	ADPGK	-0.145723894609752	200	AFA
ENSG00000177479.15	ARIH2	-0.145291641594361	350	AFA
ENSG00000164066.7	INTU	-0.145269539851512	150	AFA
ENSG00000117215.10	PLA2G2D	-0.14508398581195	300	AFA
ENSG00000014914.15	MTMR11	-0.145007780777771	50	AFA
ENSG00000027869.7	SH2D2A	-0.144980692065138	350	AFA
ENSG00000167088.5	SNRPD1	-0.144923824643895	400	AFA
ENSG00000095319.10	NUP188	-0.144761039563602	150	AFA
ENSG00000134539.12	KLRD1	-0.144664546120994	300	AFA
ENSG00000158859.8	ADAMTS4	-0.144629194760498	250	AFA
ENSG00000145022.4	TCTA	-0.14449677779125	500	AFA
ENSG00000133740.6	E2F5	-0.144444644875705	400	AFA
ENSG00000171206.8	TRIM8	-0.1444062799571	100	AFA
ENSG00000185909.10	KLHDC8B	-0.144330640444341	450	AFA
ENSG00000170482.12	SLC23A1	-0.144253788852852	500	AFA
ENSG00000112486.10	CCR6	-0.144125952461625	500	AFA
ENSG00000169018.5	FEM1B	-0.143920438347357	500	AFA
ENSG00000116514.12	RNF19B	-0.143869131707473	250	AFA
ENSG00000144233.5	AMMECR1L	-0.143778330615067	200	AFA
ENSG00000170604.3	IRF2BP1	-0.143696580666695	500	AFA
ENSG00000175216.10	CKAP5	-0.143658579996541	400	AFA
ENSG00000185215.4	TNFAIP2	-0.143440062370694	300	AFA
ENSG00000166428.8	PLD4	-0.143308002002664	450	AFA
ENSG00000173281.4	PPP1R3B	-0.143287946983355	400	AFA
ENSG00000139726.6	DENR	-0.143128680821069	200	AFA
ENSG00000159713.6	TPPP3	-0.142900563844126	350	AFA
ENSG00000120833.9	SOCS2	-0.142887683516824	300	AFA
ENSG00000104221.8	BRF2	-0.14280023550134	450	AFA
ENSG00000166855.5	CLPX	-0.142760392700748	350	AFA
ENSG00000095564.9	BTAF1	-0.142556928703021	200	AFA
ENSG00000006075.11	CCL3	-0.142541497914852	100	AFA
ENSG00000125538.7	IL1B	-0.142481109965422	100	AFA
ENSG00000160949.12	TONSL	-0.142463259129813	200	AFA
ENSG00000108774.10	RAB5C	-0.142457964424838	450	AFA
ENSG00000204510.1	PRAMEF7	-0.142450374781472	200	AFA
ENSG00000107443.11	CCNJ	-0.142295157164731	500	AFA
ENSG00000071894.10	CPSF1	-0.142249289973399	450	AFA
ENSG00000172977.8	KAT5	-0.142147048785821	250	AFA
ENSG00000111252.6	SH2B3	-0.142049304587956	400	AFA
ENSG00000132128.12	LRRC41	-0.141900643650348	450	AFA
ENSG00000088247.11	KHSRP	-0.141851458390752	100	AFA
ENSG00000197747.4	S100A10	-0.141786238109279	250	AFA
ENSG00000072858.6	SIDT1	-0.141679342792346	150	AFA
ENSG00000163832.11	ELP6	-0.141677446353291	450	AFA
ENSG00000120686.7	UFM1	-0.141646042650433	100	AFA
ENSG00000109189.7	USP46	-0.141516475064203	400	AFA
ENSG00000159352.11	PSMD4	-0.141293598798119	50	AFA
ENSG00000149658.13	YTHDF1	-0.141118532303572	450	AFA
ENSG00000177600.4	RPLP2	-0.141078319538478	500	AFA
ENSG00000105821.10	DNAJC2	-0.140980945824503	50	AFA
ENSG00000233276.2	GPX1	-0.140752489682537	200	AFA
ENSG00000164068.11	RNF123	-0.140704924909786	50	AFA
ENSG00000117625.9	RCOR3	-0.140682281171915	450	AFA
ENSG00000127863.11	TNFRSF19	-0.140665643290112	50	AFA
ENSG00000125844.10	RRBP1	-0.140604763932182	50	AFA
ENSG00000106462.6	EZH2	-0.140582661310661	500	AFA
ENSG00000155636.9	RBM45	-0.140475345217649	450	AFA
ENSG00000162073.9	PAQR4	-0.140255333074958	500	AFA
ENSG00000197933.8	ZNF823	-0.140199656961061	300	AFA
ENSG00000096654.11	ZNF184	-0.140198434413524	100	AFA
ENSG00000146833.11	TRIM4	-0.140147229389263	350	AFA
ENSG00000173744.12	AGFG1	-0.139904377902651	250	AFA
ENSG00000128585.13	MKLN1	-0.13989625377996	350	AFA
ENSG00000074621.9	SLC24A1	-0.139752426960413	500	AFA
ENSG00000137078.4	SIT1	-0.139615741893853	250	AFA
ENSG00000158792.11	SPATA2L	-0.139213682170007	500	AFA
ENSG00000136634.5	IL10	-0.139153849373556	450	AFA
ENSG00000138378.13	STAT4	-0.138953880465776	400	AFA
ENSG00000067955.9	CBFB	-0.13893602198332	250	AFA
ENSG00000159140.13	SON	-0.138901835128621	200	AFA
ENSG00000168131.2	OR2B2	-0.138854856920193	250	AFA
ENSG00000137842.2	TMEM62	-0.138808930646711	150	AFA
ENSG00000008441.12	NFIX	-0.138592918495574	150	AFA
ENSG00000007392.12	LUC7L	-0.138522939999911	500	AFA
ENSG00000180357.5	ZNF609	-0.138469684698977	500	AFA
ENSG00000178149.12	DALRD3	-0.138220282885941	150	AFA
ENSG00000083838.11	ZNF446	-0.138069945214215	50	AFA
ENSG00000198917.7	C9orf114	-0.138033218730125	500	AFA
ENSG00000172531.10	PPP1CA	-0.138019223483979	450	AFA
ENSG00000145029.7	NICN1	-0.137952053449088	500	AFA
ENSG00000196417.8	ZNF765	-0.137903506809029	450	AFA
ENSG00000188315.3	C3orf62	-0.137747578678331	400	AFA
ENSG00000114735.5	HEMK1	-0.137704993875597	500	AFA
ENSG00000169241.13	SLC50A1	-0.137692991453014	100	AFA
ENSG00000144895.7	EIF2A	-0.137673400365298	300	AFA
ENSG00000035720.3	STAP1	-0.13751034935015	500	AFA
ENSG00000168148.3	HIST3H3	-0.137341075446602	100	AFA
ENSG00000196757.3	ZNF700	-0.137136626271511	100	AFA
ENSG00000198315.6	ZKSCAN8	-0.137116219646592	300	AFA
ENSG00000127922.5	SHFM1	-0.137095193655471	200	AFA
ENSG00000148842.12	CNNM2	-0.137008862732669	500	AFA
ENSG00000126653.11	NSRP1	-0.136980588085834	500	AFA
ENSG00000168884.10	TNIP2	-0.13660870261868	500	AFA
ENSG00000132612.13	VPS4A	-0.13660075062253	400	AFA
ENSG00000184500.10	PROS1	-0.136584020993852	200	AFA
ENSG00000170385.9	SLC30A1	-0.136524397328239	150	AFA
ENSG00000167395.10	ZNF646	-0.136465427966951	450	AFA
ENSG00000141101.8	NOB1	-0.136427134622227	350	AFA
ENSG00000037042.8	TUBG2	-0.136373728541573	400	AFA
ENSG00000171497.4	PPID	-0.136326889697768	300	AFA
ENSG00000171241.4	SHCBP1	-0.136163125804376	100	AFA
ENSG00000124767.6	GLO1	-0.135792952708809	400	AFA
ENSG00000137269.10	LRRC1	-0.135731894993278	400	AFA
ENSG00000000971.11	CFH	-0.135407656809672	250	AFA
ENSG00000164082.10	GRM2	-0.135395643784297	150	AFA
ENSG00000122707.7	RECK	-0.135384246035231	500	AFA
ENSG00000185101.8	ANO9	-0.135339387323057	400	AFA
ENSG00000181409.7	AATK	-0.135084415286529	350	AFA
ENSG00000084710.9	EFR3B	-0.134964779667004	350	AFA
ENSG00000133243.4	BTBD2	-0.134947564454423	500	AFA
ENSG00000196233.7	LCOR	-0.134852573131824	400	AFA
ENSG00000225697.6	SLC26A6	-0.134768909388115	50	AFA
ENSG00000160888.6	IER2	-0.134670814615562	200	AFA
ENSG00000165813.12	C10orf118	-0.134494146979453	150	AFA
ENSG00000196367.8	TRRAP	-0.134481315287477	400	AFA
ENSG00000105968.14	H2AFV	-0.134438881083426	450	AFA
ENSG00000128563.9	PRKRIP1	-0.134426857790447	50	AFA
ENSG00000135365.11	PHF21A	-0.13437613844078	400	AFA
ENSG00000137878.12	GCOM1	-0.134327607227542	500	AFA
ENSG00000110446.5	SLC15A3	-0.134212924835926	450	AFA
ENSG00000168530.11	MYL1	-0.134106458172917	350	AFA
ENSG00000224470.2	ATXN1L	-0.134089661469735	500	AFA
ENSG00000103145.6	HCFC1R1	-0.134051590060829	50	AFA
ENSG00000103978.11	TMEM87A	-0.133929326271407	450	AFA
ENSG00000008516.12	MMP25	-0.133907403614567	300	AFA
ENSG00000119979.11	FAM45A	-0.133870103566046	400	AFA
ENSG00000104973.10	MED25	-0.133764701346391	500	AFA
ENSG00000104852.10	SNRNP70	-0.133719620182838	100	AFA
ENSG00000178096.8	BOLA1	-0.133679249185076	400	AFA
ENSG00000169902.9	TPST1	-0.13367772840554	500	AFA
ENSG00000168591.11	TMUB2	-0.133639120565831	450	AFA
ENSG00000116754.9	SRSF11	-0.133596147001954	450	AFA
ENSG00000011258.11	MBTD1	-0.133533814530047	50	AFA
ENSG00000196544.6	C17orf59	-0.133525196811892	150	AFA
ENSG00000137185.7	ZSCAN9	-0.133502351178325	500	AFA
ENSG00000183508.4	FAM46C	-0.133495935094221	500	AFA
ENSG00000172732.7	MUS81	-0.133414932375792	300	AFA
ENSG00000196968.5	FUT11	-0.13340307226504	250	AFA
ENSG00000009830.7	POMT2	-0.133376550166984	350	AFA
ENSG00000161914.5	ZNF653	-0.133308982994481	500	AFA
ENSG00000003400.10	CASP10	-0.133290097270649	200	AFA
ENSG00000126746.13	ZNF384	-0.133071714484717	100	AFA
ENSG00000197006.9	METTL9	-0.133054947223069	50	AFA
ENSG00000170515.9	PA2G4	-0.132982342675638	500	AFA
ENSG00000167674.10	HDGFRP2	-0.132916091827645	450	AFA
ENSG00000115290.5	GRB14	-0.132912821056	500	AFA
ENSG00000166889.13	PATL1	-0.132736322905363	250	AFA
ENSG00000170631.10	ZNF16	-0.132675590489523	500	AFA
ENSG00000182628.8	SKA2	-0.132673688531984	300	AFA
ENSG00000114054.9	PCCB	-0.132516356555636	300	AFA
ENSG00000138434.12	SSFA2	-0.132145502389119	500	AFA
ENSG00000184209.14	SNRNP35	-0.131903294833687	250	AFA
ENSG00000117758.9	STX12	-0.131667169696413	250	AFA
ENSG00000104432.8	IL7	-0.13162668075991	150	AFA
ENSG00000124120.6	TTPAL	-0.131578680338222	500	AFA
ENSG00000183484.7	GPR132	-0.131564499549657	200	AFA
ENSG00000162613.12	FUBP1	-0.131496712333836	500	AFA
ENSG00000183019.3	C19orf59	-0.131401152915877	50	AFA
ENSG00000163346.12	PBXIP1	-0.131343175775359	250	AFA
ENSG00000068796.12	KIF2A	-0.131285947076408	200	AFA
ENSG00000139722.2	VPS37B	-0.131134846206279	250	AFA
ENSG00000138593.4	SECISBP2L	-0.131012677525246	350	AFA
ENSG00000048991.12	R3HDM1	-0.130953204525113	50	AFA
ENSG00000172663.4	TMEM134	-0.130844560268605	250	AFA
ENSG00000141279.10	NPEPPS	-0.130805694136307	500	AFA
ENSG00000184260.4	HIST2H2AC	-0.130801381462469	500	AFA
ENSG00000258659.2	TRIM34	-0.130768348645305	500	AFA
ENSG00000240230.1	COX19	-0.130604276478736	450	AFA
ENSG00000108187.10	PBLD	-0.130568218228108	450	AFA
ENSG00000267796.3	LIN37	-0.130558724542483	300	AFA
ENSG00000196214.6	ZNF766	-0.130473186753316	50	AFA
ENSG00000082258.8	CCNT2	-0.130387535633965	200	AFA
ENSG00000131061.9	ZNF341	-0.130238785733488	350	AFA
ENSG00000104907.8	TRMT1	-0.130215711086068	500	AFA
ENSG00000167637.12	ZNF283	-0.130167268840461	500	AFA
ENSG00000080511.2	RDH8	-0.130095395948672	500	AFA
ENSG00000114416.13	FXR1	-0.130056823328148	400	AFA
ENSG00000051341.9	POLQ	-0.130044857165266	450	AFA
ENSG00000103199.9	ZNF500	-0.130034403591709	500	AFA
ENSG00000184162.9	NR2C2AP	-0.129959186114646	100	AFA
ENSG00000006831.9	ADIPOR2	-0.129851644470771	150	AFA
ENSG00000221869.4	CEBPD	-0.129817289264484	400	AFA
ENSG00000204103.2	MAFB	-0.129773493387161	250	AFA
ENSG00000100612.9	DHRS7	-0.129756586433767	50	AFA
ENSG00000066117.10	SMARCD1	-0.129639442831652	200	AFA
ENSG00000153767.5	GTF2E1	-0.129547502733249	450	AFA
ENSG00000170234.8	PWWP2A	-0.129536387470422	150	AFA
ENSG00000175906.4	ARL4D	-0.129512153930625	50	AFA
ENSG00000154582.12	TCEB1	-0.12950545876757	150	AFA
